FactorFamily,OliverOriginalWeight,LearnedImportanceShare,CombinedAbsStdCoefficientPoints,LocationCoefficientPoints
eFG,0.4,0.38550326046836236,6.076941271301276,3.773219013626737
TOV,0.25,0.302123773802874,4.762575620847837,3.773219013626737
ORB,0.2,0.21401419295103075,3.3736463868250155,3.773219013626737
FTR,0.15,0.09835877277773293,1.5504939827521995,3.773219013626737
