FactorFamily,Component,StdCoefficientPoints,WithinFamilyShare
eFG,eFG_Diff,3.4889664066694435,0.5741319935320585
eFG,Def_eFG_Adv,2.587974864631833,0.42586800646794154
TOV,TOV_Adv,2.5438255794169455,0.5341281235055942
TOV,ForceTOV_Adv,2.218750041430891,0.4658718764944057
ORB,ORB_Diff,1.981232613901832,0.5872674212801529
ORB,DefORB_Adv,1.3924137729231836,0.41273257871984714
FTR,FTR_Diff,0.7541494428814141,0.48639301491693854
FTR,DefFTR_Adv,0.7963445398707854,0.5136069850830614
