TestSeason,N_Games,WinnerAccuracy,MarginMAE,N_TourneyGames,TourneyWinnerAccuracy,TourneyMarginMAE
2022,4419,0.7026476578411406,8.975607891216358,67,0.5522388059701493,11.1635667211195
2023,4677,0.6987385075903357,9.155094211117206,67,0.6119402985074627,10.350884701401943
2024,4691,0.7039010871882327,9.261505184074155,67,0.6119402985074627,12.297971258854393
2025,4713,0.7054954381497984,9.178245326623799,67,0.6567164179104478,11.371802519540697
2026,4656,0.6969501718213058,9.25262451883071,0,,
