FeatureSet,Alpha,OverallAccuracy,OverallMAE,TourneyAccuracy,TourneyMAE
rich_v3,0.1,0.7027466620127522,9.143081366419253,0.6119402985074627,11.294272672505683
rich_v3,1.0,0.7027431328970435,9.143036310853162,0.6119402985074627,11.29444227381166
rich_v3,10.0,0.7026956726923768,9.14261315325788,0.6082089552238806,11.296056300229136
rich_v3,100.0,0.7029146801918245,9.140104419876382,0.6007462686567164,11.306972570152032
rich_v3,1000.0,0.7034049796900859,9.13688859340282,0.6007462686567164,11.330518068485052
clean_core,0.1,0.7016597949893504,9.179917019103087,0.6343283582089553,11.413748870962923
clean_core,1.0,0.7016067502195646,9.179915674461842,0.6343283582089553,11.413757665716739
clean_core,10.0,0.7017700707140881,9.17990248083698,0.6343283582089553,11.413844857221024
clean_core,100.0,0.7017047022025322,9.179783446039467,0.6343283582089553,11.414649300493547
clean_core,1000.0,0.7017246520015237,9.17943463349588,0.6231343283582089,11.419628527134133
efficiency_core,0.1,0.7010496788271785,9.178400191695447,0.6305970149253732,11.420991481376987
efficiency_core,1.0,0.7010496788271785,9.178403281842737,0.6305970149253732,11.421010264486448
efficiency_core,10.0,0.7009429322181495,9.178434404257333,0.6305970149253732,11.421196143491064
efficiency_core,100.0,0.7012662928625248,9.178748298964319,0.6305970149253732,11.42288053116443
efficiency_core,1000.0,0.7004324482765922,9.180808299928646,0.6305970149253731,11.431688596920441
